OWNER|INDEX_NAME|TABLE_NAME|UNIQUENESS|TABLESPACE|COLUMNS
HUMAN_RESOURCES|BEN_WV_PRSN_CTN_PL_F_PK|BEN_WV_PRTN_RSN_CTFN_PL_F|Unique|WV_PRTN_RSN_CTFN_PL_ID, EFFECTIVE_START_DATE, EFFECTIVE_END_DATE|
HUMAN_RESOURCES|HRA_TMPL_PERD_DUE_DATES_N1|HRA_TMPL_PERD_DUE_DATES|Non Unique|Default|TMPL_PERIOD_ID
HUMAN_RESOURCES|HRA_TMPL_PERD_DUE_DATES_PK|HRA_TMPL_PERD_DUE_DATES|Unique|Default|TMPL_PERIOD_DATE_ID, BUSINESS_GROUP_ID
HUMAN_RESOURCES|FF_DD_USAGES_U1|FF_DD_USAGES|Unique|Default|DD_USAGE_ID, ORA_SEED_SET1
HUMAN_RESOURCES|FF_DD_USAGES_U11|FF_DD_USAGES|Unique|Default|DD_USAGE_ID, ORA_SEED_SET2
HUMAN_RESOURCES|IRC_CX_TC_SIGNUP_B_U1|IRC_CX_TC_SIGNUP_B|Unique|FUSION_TS_SEED|SITE_ID
HUMAN_RESOURCES|HRR_TMPL_ANLYT_BOX_LBLS_B_N1|HRR_TMPL_ANLYT_BOX_LBLS_B|Non Unique|FUSION_TS_TX_DATA|ANALYTIC_TYPE_ID, BUSINESS_GROUP_ID
HUMAN_RESOURCES|HRR_TMPL_ANLYT_BOX_LBLS_B_U1|HRR_TMPL_ANLYT_BOX_LBLS_B|Unique|FUSION_TS_TX_DATA|ANALYTIC_BOX_LABEL_ID, BUSINESS_GROUP_ID
HUMAN_RESOURCES|PAY_MARKED_OBJECTS_N1|PAY_MARKED_OBJECTS|Non Unique|Default|OBJECT_ID, OBJECT_TYPE
HUMAN_RESOURCES|PAY_MARKED_OBJECTS_N2|PAY_MARKED_OBJECTS|Non Unique|Default|OBJECT_TYPE, ACTION
HUMAN_RESOURCES|PAY_MARKED_OBJECTS_PK|PAY_MARKED_OBJECTS|Unique|Default|PAY_MARKED_OBJECT_ID
HUMAN_RESOURCES|HR_DOCUMENT_TYPES_TL_U1|HR_DOCUMENT_TYPES_TL|Unique|FUSION_TS_TX_IDX|DOCUMENT_TYPE_ID, LANGUAGE, ORA_SEED_SET1
HUMAN_RESOURCES|HR_DOCUMENT_TYPES_TL_U11|HR_DOCUMENT_TYPES_TL|Unique|FUSION_TS_TX_IDX|DOCUMENT_TYPE_ID, LANGUAGE, ORA_SEED_SET2
HUMAN_RESOURCES|BEN_PL_TYP_OPT_TYP_F_N1|BEN_PL_TYP_OPT_TYP_F|Non Unique|Default|PL_TYP_ID
HUMAN_RESOURCES|BEN_PL_TYP_OPT_TYP_F_N2|BEN_PL_TYP_OPT_TYP_F|Non Unique|Default|OPT_ID
HUMAN_RESOURCES|BEN_PL_TYP_OPT_TYP_F_PK|BEN_PL_TYP_OPT_TYP_F|Unique|Default|PL_TYP_OPT_TYP_ID, EFFECTIVE_START_DATE, EFFECTIVE_END_DATE
HUMAN_RESOURCES|HR_ALL_POSITIONS_F_TLN1_|HR_ALL_POSITIONS_F_TL_|Non Unique|Default|POSITION_ID, LANGUAGE, EFFECTIVE_START_DATE, EFFECTIVE_END_DATE
HUMAN_RESOURCES|HR_ALL_POSITIONS_F_TLN2_|HR_ALL_POSITIONS_F_TL_|Non Unique|Default|AUDIT_ACTION_TYPE_
HUMAN_RESOURCES|HR_ALL_POSITIONS_F_TL_PK_|HR_ALL_POSITIONS_F_TL_|Unique|Default|LAST_UPDATE_DATE, LAST_UPDATED_BY, POSITION_ID, LANGUAGE, EFFECTIVE_START_DATE, EFFECTIVE_END_DATE
HUMAN_RESOURCES|HWM_TM_REC_GRP_SUM_N1|HWM_TM_REC_GRP_SUM|Non Unique|Default|RESOURCE_ID, GRP_TYPE_ID, START_TIME, STOP_TIME, STATUS
HUMAN_RESOURCES|HWM_TM_REC_GRP_SUM_N2|HWM_TM_REC_GRP_SUM|Non Unique|Default|"GRP_TYPE_ID, TRUNC(""START_TIME""), TRUNC(""STOP_TIME""), RESOURCE_ID, STATUS"
HUMAN_RESOURCES|HWM_TM_REC_GRP_SUM_N3|HWM_TM_REC_GRP_SUM|Non Unique|Default|"GRP_TYPE_ID, STATUS, TRUNC(""START_TIME""), TRUNC(""STOP_TIME""), ENTERPRISE_ID, RESOURCE_ID"
HUMAN_RESOURCES|HWM_TM_REC_GRP_SUM_PK|HWM_TM_REC_GRP_SUM|Unique|"""Default"""|TM_REC_GRP_ID, TM_REC_GRP_VERSION
HUMAN_RESOURCES|HRW_JOB_POSITION_DETAILS_F1|HRW_JOB_POSITION_DETAILS|Non Unique|Default|CONFIGURATION_ID
HUMAN_RESOURCES|HRW_JOB_POSITION_DETAILS_PK|HRW_JOB_POSITION_DETAILS|Unique|Default|DETAIL_ID
HUMAN_RESOURCES|PER_EMPL_OFFER_HR_TRACK_N1|PER_EMPL_OFFER_HR_TRACK|Non Unique|FUSION_TS_TX_IDX|PWK_ASG_ID
HUMAN_RESOURCES|PER_EMPL_OFFER_HR_TRACK_N2|PER_EMPL_OFFER_HR_TRACK|Non Unique|FUSION_TS_TX_IDX|EMP_CWK_ASG_ID
HUMAN_RESOURCES|PER_EMPL_OFFER_HR_TRACK_N3|PER_EMPL_OFFER_HR_TRACK|Non Unique|FUSION_TS_TX_IDX|OFFER_ASG_ID
HUMAN_RESOURCES|PER_EMPL_OFFER_HR_TRACK_PK|PER_EMPL_OFFER_HR_TRACK|Unique|FUSION_TS_TX_IDX|OFFER_HR_TRACK_ID
HUMAN_RESOURCES|CMP_PROCESS_TEMP_LOGS_GT_U1|CMP_PROCESS_TEMP_LOGS_GT|Unique|PROCESS_LOG_ID|
HUMAN_RESOURCES|IRC_CAND_PREF_WPLC_TYPES_FK1|IRC_CAND_PREF_WORKPLACE_TYPES|Non Unique|Default|CAND_PREF_ID
HUMAN_RESOURCES|IRC_CAND_PREF_WPLC_TYPES_PK|IRC_CAND_PREF_WORKPLACE_TYPES|Unique|Default|PREF_WORKPLACE_TYPE_ID
HUMAN_RESOURCES|PEAN1_|PER_EMAIL_ADDRESSES_|Non Unique|Default|EMAIL_ADDRESS_ID, LAST_UPDATE_DATE
HUMAN_RESOURCES|PER_EMAIL_ADDRESSES_PK_|PER_EMAIL_ADDRESSES_|Unique|Default|LAST_UPDATE_DATE, LAST_UPDATED_BY, EMAIL_ADDRESS_ID
HUMAN_RESOURCES|HWM_XFR_JOB_N1|HWM_XFR_JOB|Non Unique|Default|"XFR_STATUS, TRUNC(""XFR_START_TIME"")"
HUMAN_RESOURCES|HWM_XFR_JOB_PK|HWM_XFR_JOB|Unique|Default|XFR_JOB_ID
