OWNER,TABLE_NAME
FUSION,FA_LEASE_BOOKS
FUSION,FA_LEASE_BOOKS_INT
FUSION,FA_LEASE_EXPENSE_DETAIL
FUSION,FA_LEASE_EXPENSE_DETAIL_H
FUSION,FA_LEASE_EXPENSE_EVENTS
FUSION,FA_LEASE_EXPENSE_SUMMARY
FUSION,FA_LEASE_EXPENSE_SUMMARY_H
FUSION,FA_LEASE_INVOICES
FUSION,FA_LEASE_INVOICE_LINES
FUSION,FA_LEASE_SCHEDULES
FUSION,FA_LEASE_SCHEDULES_INT
FUSION,FA_LEASE_SCHEDULE_ITEMS
FUSION,FA_LEASE_SCHEDULE_ITEMS_INT
FUSION,FA_LEASE_SCH_INT
FUSION,FA_LOCATIONS
FUSION,FA_LOCATIONS_
FUSION,FA_LOCATIONS_PRTL
FUSION,FA_LOCATION_ALIASES_B
FUSION,FA_LOCATION_ALIASES_B_
FUSION,FA_LOCATION_ALIASES_TL
FUSION,FA_LOCATION_MAPPINGS
FUSION,FA_LOCATION_MAPPINGS_
FUSION,FA_MASSADD_DISTRIBUTIONS
FUSION,FA_MASSADD_DISTRIBUTIONS_
FUSION,FA_MASS_ADDITIONS
FUSION,FA_MASS_ADDITIONS_
FUSION,FA_MASS_ADDITIONS_GT
FUSION,FA_MASS_CHANGES
FUSION,FA_MASS_CHANGES_REP_T
FUSION,FA_MASS_RECLASS
FUSION,FA_MASS_RECLASS_REP_T
FUSION,FA_MASS_RETIREMENTS
FUSION,FA_MASS_RET_REP_T
FUSION,FA_MASS_REVAL_REP_T
FUSION,FA_MASS_TAX_ADJ_REP_T
FUSION,FA_MASS_TRANSACTIONS
FUSION,FA_MASS_TRANSACTIONS_GT
FUSION,FA_MASS_TRANSFERS
FUSION,FA_MASS_TRANSFERS_REP_T
FUSION,FA_MASS_TRX_DETAILS
FUSION,FA_MC_ADJUSTMENTS
FUSION,FA_MC_ASSET_INVOICES
FUSION,FA_MC_BOOKS
FUSION,FA_MC_BOOKS_RATES
FUSION,FA_MC_BOOKS_SUMMARY
FUSION,FA_MC_BOOK_CONTROLS
FUSION,FA_MC_CONVERSION_HISTORY
FUSION,FA_MC_CONVERSION_RATES
FUSION,FA_MC_CONVERSION_RATES_INT
FUSION,FA_MC_DEFERRED_DEPRN
FUSION,FA_MC_DEPRN_DETAIL
FUSION,FA_MC_DEPRN_DETAIL_H
FUSION,FA_MC_DEPRN_PERIODS
FUSION,FA_MC_DEPRN_SUMMARY
FUSION,FA_MC_DEPRN_SUMMARY_H
FUSION,FA_MC_IMPAIRMENTS
FUSION,FA_MC_ITF_IMPAIRMENTS
FUSION,FA_MC_LEASE_AMORT_SCHEDULES
FUSION,FA_MC_LEASE_BOOKS
FUSION,FA_MC_LEASE_EXPENSE_DETAIL
FUSION,FA_MC_LEASE_EXPENSE_DETAIL_H
FUSION,FA_MC_LEASE_EXPENSE_SUMMARY
FUSION,FA_MC_LEASE_EXPENSE_SUMMARY_H
FUSION,FA_MC_LEASE_SCHEDULES
FUSION,FA_MC_LEASE_SCHEDULE_ITEMS
FUSION,FA_MC_MASS_RATES
FUSION,FA_MC_RETIREMENTS
FUSION,FA_MC_REVALUATIONS
FUSION,FA_METHODS
FUSION,FA_METHODS_
FUSION,FA_PARALLEL_WORKERS
FUSION,FA_PENDING_TRANSACTION_SUMMARY
FUSION,FA_PERIODIC_PRODUCTION
FUSION,FA_PRICE_INDEXES
FUSION,FA_PRICE_INDEXES_
FUSION,FA_PRICE_INDEX_VALUES
FUSION,FA_PRICE_INDEX_VALUES_
FUSION,FA_PRODUCTION_INTERFACE
FUSION,FA_RATES
FUSION,FA_RATES_
FUSION,FA_RETIREMENTS
FUSION,FA_RETIREMENTS_T
FUSION,FA_RETIREMENT_DISTS_T
FUSION,FA_RET_SRC_LINES_T
FUSION,FA_REVALUATIONS
FUSION,FA_RSV_LEDGER_REP_GT
FUSION,FA_SCHEDULE16_REP_T
FUSION,FA_SYSTEM_CONTROLS
FUSION,FA_SYSTEM_CONTROLS_
FUSION,FA_TRACK_MEMBERS_GT
FUSION,FA_TRANSACTION_HEADERS
FUSION,FA_TRANSFERS_T
FUSION,FA_TRANSFER_DISTS_T
FUSION,FA_TRX_EXTRACT
FUSION,FA_TRX_REFERENCES
FUSION,FA_WARRANTIES
FUSION,FA_WHATIF_REP_T
FUSION,FA_WORK_ORDER_HEADERS
FUSION,FA_WORK_ORDER_LINES
FUSION,FA_XLA_EXT_HEADERS_B_GT
FUSION,FA_XLA_EXT_LINES_B_GT
FUSION,FA_XLA_EXT_LINES_STG_GT
FUSION,FA_XLA_EXT_LINES_TL_GT
FUSION,FA_ADDITIONS_VL
FUSION,FA_ADJ_RATES_INT_V
FUSION,FA_ASSET_KEY_ALIASES_VL
FUSION,FA_ASSET_RETIREMENTS_V
FUSION,FA_ASSET_TRANSFER_V
FUSION,FA_BOOK_TRANSFER_RATES_INT_V
FUSION,FA_CATEGORIES_VL
FUSION,FA_CATEGORY_ALIASES_VL
FUSION,FA_CAT_CONTEXT_VALUES_V
FUSION,FA_DEFERRED_DEPRN_EVENTS_V
FUSION,FA_DEPRN_EVENTS_V
FUSION,FA_FISCAL_YEAR_TYPES_VL
FUSION,FA_INVOICE_TRANSFERS_V
FUSION,FA_LEASE_EXPENSE_EVENTS_V
FUSION,FA_LOCATION_ALIASES_VL
FUSION,FA_LOOKUP_TYPES
FUSION,FA_LOOKUP_VALUES
