OWNER|INDEX_NAME|TABLE_NAME|UNIQUENESS|COLUMNS
FUSION|PJS_PROGRAM_DEFN_RF_N1|PJS_PROGRAM_DEFN_RF|Non Unique|TREE_STRUCTURE_ID, ANCESTOR_PROGRAM_ID, ANCESTOR_PROGRAM_LEVEL
FUSION|PJS_PROGRAM_DEFN_RF_N2|PJS_PROGRAM_DEFN_RF|Non Unique|TREE_STRUCTURE_ID, PROGRAM_ID, PROGRAM_LEVEL
FUSION|PJS_PROGRAM_DEFN_RF_N3|PJS_PROGRAM_DEFN_RF|Non Unique|LAST_UPDATE_DATE
FUSION|PJS_PROGRAM_DEFN_RF_U1|PJS_PROGRAM_DEFN_RF|Unique|TREE_STRUCTURE_ID, ANCESTOR_PROGRAM_ID, PROGRAM_ID
FUSION|PJS_PROGRAM_DEFN_TL_N1|PJS_PROGRAM_DEFN_TL|Non Unique|PROGRAM_NAME
FUSION|PJS_PROGRAM_DEFN_TL_N2|PJS_PROGRAM_DEFN_TL|Non Unique|LAST_UPDATE_DATE
FUSION|PJS_PROGRAM_DEFN_TL_U1|PJS_PROGRAM_DEFN_TL|Unique|PROGRAM_ID, LANGUAGE
FUSION|PJS_PROGRAM_DEFN_TL_U2|PJS_PROGRAM_DEFN_TL|Unique|"LANGUAGE, UPPER(""PROGRAM_NAME"")"
FUSION|PJS_PROGRAM_STAKEHOLDERS_N1|PJS_PROGRAM_STAKEHOLDERS|Non Unique|PERSON_ID
FUSION|PJS_PROGRAM_STAKEHOLDERS_N2|PJS_PROGRAM_STAKEHOLDERS|Non Unique|LAST_UPDATE_DATE
FUSION|PJS_PROGRAM_STAKEHOLDERS_U1|PJS_PROGRAM_STAKEHOLDERS|Unique|PROGRAM_STAKEHOLDER_ID
FUSION|PJS_PROGRAM_STAKEHOLDERS_U2|PJS_PROGRAM_STAKEHOLDERS|Unique|TREE_STRUCTURE_ID, PROGRAM_ID, PERSON_ID, ACCESS_TYPE_CODE, ASSIGNMENT_CATEGORY_CODE
FUSION|PJS_PROJECT_EXTR_STATUS_U1|PJS_PROJECT_EXTR_STATUS|Unique|PROJECT_ID
FUSION|PJS_PROJECT_PROGRAM_IMAGES_N1|PJS_PROJECT_PROGRAM_IMAGES|Non Unique|OBJECT_ID
FUSION|PJS_PROJECT_PROGRAM_IMAGES_U1|PJS_PROJECT_PROGRAM_IMAGES|Unique|IMAGE_ID
