OWNER|SYNONYM_NAME|TABLE_OWNER|TABLE_NAME|DB_LINK
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_ADN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_ADN|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_CGO|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_CGO|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_FLQ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_FLQ|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_INV|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_INV|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_MOD|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_MOD|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_PRJ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_PRJ|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_REQ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_REQ|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_SET|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_SET|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_SPS|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_SPS|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_SSD|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_SSD|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNARN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNARN|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNBIL|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNBIL|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNCLS|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNCLS|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNCNC|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNCNC|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNCNQN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNCNQN|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNFUL|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNFUL|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNIRN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNIRN|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNORGN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNORGN|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNPMTN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNPMTN|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNRCV|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNRCV|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNRDN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNRDN|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNSDTN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNSDTN|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNSHP|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNSHP|
FUSION|ADXX_DOO_PC_FF_FMODELDOO_ADN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELDOO_ADN|
FUSION|ADXX_DOO_PC_FF_FMODELDOO_CGO|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELDOO_CGO|
FUSION|ADXX_DOO_PC_FF_FMODELDOO_FLQ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELDOO_FLQ|
FUSION|ADXX_DOO_PC_FF_FMODELDOO_INV|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELDOO_INV|
FUSION|ADXX_DOO_PC_FF_FMODELDOO_MOD|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELDOO_MOD|
FUSION|ADXX_DOO_PC_FF_FMODELDOO_PRJ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELDOO_PRJ|
FUSION|ADXX_DOO_PC_FF_FMODELDOO_REQ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELDOO_REQ|
FUSION|ADXX_DOO_PC_FF_FMODELDOO_SET|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELDOO_SET|
FUSION|ADXX_DOO_PC_FF_FMODELDOO_SPS|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELDOO_SPS|
FUSION|ADXX_DOO_PC_FF_FMODELDOO_SSD|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELDOO_SSD|
FUSION|ADXX_DOO_PC_FF_FMODELFLNARN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELFLNARN|
FUSION|ADXX_DOO_PC_FF_FMODELFLNBIL|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELFLNBIL|
FUSION|ADXX_DOO_PC_FF_FMODELFLNCLS|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELFLNCLS|
FUSION|ADXX_DOO_PC_FF_FMODELFLNCNC|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELFLNCNC|
FUSION|ADXX_DOO_PC_FF_FMODELFLNCNQN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELFLNCNQN|
FUSION|ADXX_DOO_PC_FF_FMODELFLNFUL|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELFLNFUL|
FUSION|ADXX_DOO_PC_FF_FMODELFLNIRN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELFLNIRN|
FUSION|ADXX_DOO_PC_FF_FMODELFLNORGN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELFLNORGN|
FUSION|ADXX_DOO_PC_FF_FMODELFLNPMTN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELFLNPMTN|
FUSION|ADXX_DOO_PC_FF_FMODELFLNRCV|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELFLNRCV|
FUSION|ADXX_DOO_PC_FF_FMODELFLNRDN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELFLNRDN|
FUSION|ADXX_DOO_PC_FF_FMODELFLNSDTN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELFLNSDTN|
FUSION|ADXX_DOO_PC_FF_FMODELFLNSHP|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FMODELFLNSHP|
FUSION|ADXX_DOO_PC_FH_HEADERDOO_ISO|FUSION_DYNAMIC|ADXX_DOO_PC_FH_HEADERDOO_ISO|
FUSION|ADXX_DOO_PC_FH_HEADERDOO_SUB|FUSION_DYNAMIC|ADXX_DOO_PC_FH_HEADERDOO_SUB|
FUSION|ADXX_DOO_PC_FH_HEADERDOO_TM|FUSION_DYNAMIC|ADXX_DOO_PC_FH_HEADERDOO_TM|
FUSION|ADXX_DOO_PC_FH_HEADERDOO_TO|FUSION_DYNAMIC|ADXX_DOO_PC_FH_HEADERDOO_TO|
FUSION|ADXX_DOO_PC_FH_HEADERORDCLS|FUSION_DYNAMIC|ADXX_DOO_PC_FH_HEADERORDCLS|
FUSION|ADXX_DOO_PC_FH_HEADERORDCNC|FUSION_DYNAMIC|ADXX_DOO_PC_FH_HEADERORDCNC|
FUSION|ADXX_DOO_PC_FL_LINELINCLS|FUSION_DYNAMIC|ADXX_DOO_PC_FL_LINELINCLS|
FUSION|ADXX_DOO_PC_FL_LINELINCNC|FUSION_DYNAMIC|ADXX_DOO_PC_FL_LINELINCNC|
FUSION|ADXX_DOO_PC_HF_FLINEDOO_ADN|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEDOO_ADN|
FUSION|ADXX_DOO_PC_HF_FLINEDOO_CGO|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEDOO_CGO|
FUSION|ADXX_DOO_PC_HF_FLINEDOO_FLQ|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEDOO_FLQ|
FUSION|ADXX_DOO_PC_HF_FLINEDOO_INV|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEDOO_INV|
FUSION|ADXX_DOO_PC_HF_FLINEDOO_MOD|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEDOO_MOD|
FUSION|ADXX_DOO_PC_HF_FLINEDOO_PRJ|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEDOO_PRJ|
FUSION|ADXX_DOO_PC_HF_FLINEDOO_REQ|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEDOO_REQ|
FUSION|ADXX_DOO_PC_HF_FLINEDOO_SET|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEDOO_SET|
FUSION|ADXX_DOO_PC_HF_FLINEDOO_SPS|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEDOO_SPS|
FUSION|ADXX_DOO_PC_HF_FLINEDOO_SSD|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEDOO_SSD|
FUSION|ADXX_DOO_PC_HF_FLINEFLNARN|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEFLNARN|
FUSION|ADXX_DOO_PC_HF_FLINEFLNBIL|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEFLNBIL|
FUSION|ADXX_DOO_PC_HF_FLINEFLNCLS|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEFLNCLS|
FUSION|ADXX_DOO_PC_HF_FLINEFLNCNC|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEFLNCNC|
FUSION|ADXX_DOO_PC_HF_FLINEFLNCNQN|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEFLNCNQN|
FUSION|ADXX_DOO_PC_HF_FLINEFLNFUL|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEFLNFUL|
FUSION|ADXX_DOO_PC_HF_FLINEFLNIRN|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEFLNIRN|
FUSION|ADXX_DOO_PC_HF_FLINEFLNORGN|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEFLNORGN|
FUSION|ADXX_DOO_PC_HF_FLINEFLNPMTN|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEFLNPMTN|
FUSION|ADXX_DOO_PC_HF_FLINEFLNRCV|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEFLNRCV|
FUSION|ADXX_DOO_PC_HF_FLINEFLNRDN|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEFLNRDN|
FUSION|ADXX_DOO_PC_HF_FLINEFLNSDTN|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEFLNSDTN|
FUSION|ADXX_DOO_PC_HF_FLINEFLNSHP|FUSION_DYNAMIC|ADXX_DOO_PC_HF_FLINEFLNSHP|
FUSION|ADXX_DOO_PC_HH_HEADERDOO_ISO|FUSION_DYNAMIC|ADXX_DOO_PC_HH_HEADERDOO_ISO|
FUSION|ADXX_DOO_PC_HH_HEADERDOO_SUB|FUSION_DYNAMIC|ADXX_DOO_PC_HH_HEADERDOO_SUB|
FUSION|ADXX_DOO_PC_HH_HEADERDOO_TM|FUSION_DYNAMIC|ADXX_DOO_PC_HH_HEADERDOO_TM|
FUSION|ADXX_DOO_PC_HH_HEADERDOO_TO|FUSION_DYNAMIC|ADXX_DOO_PC_HH_HEADERDOO_TO|
FUSION|ADXX_DOO_PC_HH_HEADERORDCLS|FUSION_DYNAMIC|ADXX_DOO_PC_HH_HEADERORDCLS|
FUSION|ADXX_DOO_PC_HH_HEADERORDCNC|FUSION_DYNAMIC|ADXX_DOO_PC_HH_HEADERORDCNC|
FUSION|ADXX_DOO_PC_HL_LINELINCLS|FUSION_DYNAMIC|ADXX_DOO_PC_HL_LINELINCLS|
