OWNER|INDEX_NAME|TABLE_NAME|UNIQUENESS|COLUMNS
FUSION|OKC_ARTICLE_ADOPTIONS_N1|OKC_ARTICLE_ADOPTIONS|Non Unique|LOCAL_ORG_ID, ADOPTION_TYPE
FUSION|OKC_ARTICLE_ADOPTIONS_N2|OKC_ARTICLE_ADOPTIONS|Non Unique|LOCAL_ARTICLE_VERSION_ID, LOCAL_ORG_ID
FUSION|OKC_ARTICLE_ADOPTIONS_N3|OKC_ARTICLE_ADOPTIONS|Non Unique|GLOBAL_ARTICLE_VERSION_ID
FUSION|OKC_ARTICLE_ADOPTIONS_N4|OKC_ARTICLE_ADOPTIONS|Non Unique|LOCAL_ARTICLE_VERSION_ID
FUSION|OKC_ARTICLE_ADOPTIONS_N5|OKC_ARTICLE_ADOPTIONS|Non Unique|ADOPTION_TYPE
FUSION|OKC_ARTICLE_ADOPTIONS_U1|OKC_ARTICLE_ADOPTIONS|Unique|GLOBAL_ARTICLE_VERSION_ID, LOCAL_ORG_ID, LOCAL_ARTICLE_VERSION_ID
FUSION|OKC_ARTICLE_ADOPTIONS_U2|OKC_ARTICLE_ADOPTIONS|Unique|ID
FUSION|OKC_ARTICLE_RELATNS_ALL_N1|OKC_ARTICLE_RELATNS_ALL|Non Unique|SOURCE_ARTICLE_ID, RELATIONSHIP_TYPE, ORG_ID
FUSION|OKC_ARTICLE_RELATNS_ALL_N2|OKC_ARTICLE_RELATNS_ALL|Non Unique|TARGET_ARTICLE_ID
FUSION|OKC_ARTICLE_RELATNS_ALL_U1|OKC_ARTICLE_RELATNS_ALL|Unique|SOURCE_ARTICLE_ID, TARGET_ARTICLE_ID, ORG_ID
FUSION|OKC_ARTICLE_RELATNS_ALL_U2|OKC_ARTICLE_RELATNS_ALL|Unique|ID
FUSION|OKC_ARTICLES_ALL_N1|OKC_ARTICLES_ALL|Non Unique|ARTICLE_NUMBER
FUSION|OKC_ARTICLES_ALL_N2|OKC_ARTICLES_ALL|Non Unique|ORIG_SYSTEM_REFERENCE_CODE, ORIG_SYSTEM_REFERENCE_ID1, ORIG_SYSTEM_REFERENCE_ID2
FUSION|OKC_ARTICLES_ALL_N3|OKC_ARTICLES_ALL|Non Unique|ARTICLE_TITLE, ORG_ID
FUSION|OKC_ARTICLES_ALL_N4|OKC_ARTICLES_ALL|Non Unique|"UPPER(""ARTICLE_TITLE"")"
FUSION|OKC_ARTICLES_ALL_N5|OKC_ARTICLES_ALL|Non Unique|ARTICLE_LANGUAGE
FUSION|OKC_ARTICLES_ALL_N6|OKC_ARTICLES_ALL|Non Unique|"UPPER(""ARTICLE_NUMBER"")"
FUSION|OKC_ARTICLES_ALL_U1|OKC_ARTICLES_ALL|Unique|ARTICLE_ID
FUSION|OKC_ARTICLE_VARIABLES_N1|OKC_ARTICLE_VARIABLES|Non Unique|ARTICLE_VERSION_ID
FUSION|OKC_ARTICLE_VARIABLES_N2|OKC_ARTICLE_VARIABLES|Non Unique|VARIABLE_CODE
FUSION|OKC_ARTICLE_VARIABLES_U1|OKC_ARTICLE_VARIABLES|Unique|ID
FUSION|OKC_ARTICLES_CTX|OKC_ARTICLE_VERSIONS|Non Unique|ARTICLE_DESCRIPTION
FUSION|OKC_ARTICLE_VERSIONS_N1|OKC_ARTICLE_VERSIONS|Non Unique|ORIG_SYSTEM_REFERENCE_CODE, ORIG_SYSTEM_REFERENCE_ID1, ORIG_SYSTEM_REFERENCE_ID2
FUSION|OKC_ARTICLE_VERSIONS_N2|OKC_ARTICLE_VERSIONS|Non Unique|START_DATE
FUSION|OKC_ARTICLE_VERSIONS_N3|OKC_ARTICLE_VERSIONS|Non Unique|END_DATE
FUSION|OKC_ARTICLE_VERSIONS_N4|OKC_ARTICLE_VERSIONS|Non Unique|STD_ARTICLE_VERSION_ID
FUSION|OKC_ARTICLE_VERSIONS_N5|OKC_ARTICLE_VERSIONS|Non Unique|ARTICLE_STATUS
FUSION|OKC_ARTICLE_VERSIONS_N6|OKC_ARTICLE_VERSIONS|Non Unique|ARTICLE_ID
FUSION|OKC_ARTICLE_VERSIONS_N7|OKC_ARTICLE_VERSIONS|Non Unique|SECTION_ID
FUSION|OKC_ARTICLE_VERSIONS_U1|OKC_ARTICLE_VERSIONS|Unique|ARTICLE_VERSION_ID
FUSION|OKC_ARTICLE_VERSIONS_U2|OKC_ARTICLE_VERSIONS|Unique|ARTICLE_ID, ARTICLE_VERSION_NUMBER
FUSION|OKC_ART_INT_BATPROCS_ALL_U1|OKC_ART_INT_BATPROCS_ALL|Unique|BATCH_PROCESS_ID, ENTITY
FUSION|OKC_ART_INT_BATPROCS_ALL_U2|OKC_ART_INT_BATPROCS_ALL|Unique|BATCH_NUMBER, START_DATE, ORG_ID, ENTITY
FUSION|OKC_ART_INTERFACE_ALL_U1|OKC_ART_INTERFACE_ALL|Unique|INTERFACE_ID
FUSION|OKC_ART_INTERFACE_ALL_U2|OKC_ART_INTERFACE_ALL|Unique|BATCH_NUMBER, ARTICLE_TITLE, ORG_ID
FUSION|OKC_ART_INT_ERRORS_U1|OKC_ART_INT_ERRORS|Unique|BATCH_PROCESS_ID, INTERFACE_ID, ERROR_NUMBER
FUSION|OKC_ART_RELS_INTERFACE_U1|OKC_ART_RELS_INTERFACE|Unique|INTERFACE_ID
FUSION|OKC_ASYNC_UPLOAD_CONTRACT_N1|OKC_ASYNC_UPLOAD_CONTRACT|Non Unique|DOCUMENT_ID, DOCUMENT_TYPE, DOCUMENT_VERSION, UPLOAD_STATUS
FUSION|OKC_ASYNC_UPLOAD_CONTRACT_U1|OKC_ASYNC_UPLOAD_CONTRACT|Unique|ASYNC_UPLOAD_CONTRACT_ID
FUSION|OKC_ASYNC_UPLOAD_CONTRACT_H_U1|OKC_ASYNC_UPLOAD_CONTRACT_H|Unique|ASYNC_UPLOAD_CONTRACT_ID
FUSION|OKC_BATCH_QA_CONTRACTS_T_N1|OKC_BATCH_QA_CONTRACTS_T|Non Unique|CREATION_DATE
FUSION|OKC_BATCH_QA_CONTRACTS_T_U1|OKC_BATCH_QA_CONTRACTS_T|Unique|BATCH_ID, CHR_ID, MAJOR_VERSION
FUSION|OKC_BATCH_QA_SUMMARY_T_N1|OKC_BATCH_QA_SUMMARY_T|Non Unique|CREATION_DATE
FUSION|OKC_BATCH_QA_SUMMARY_T_U1|OKC_BATCH_QA_SUMMARY_T|Unique|BATCH_ID
FUSION|OKC_BILL_HEADERS_U1|OKC_BILL_HEADERS|Unique|ID, MAJOR_VERSION
FUSION|OKC_BILLING_TEMPLATES_U1|OKC_BILLING_TEMPLATES|Unique|BILLING_TEMPLATE_ID
FUSION|OKC_BILLING_TEMPLATES_U2|OKC_BILLING_TEMPLATES|Unique|BILLING_TEMPLATE_NAME
FUSION|OKC_BILL_LINES_N1|OKC_BILL_LINES|Non Unique|DNZ_CHR_ID, MAJOR_VERSION, KCA_ID, TRX_CLASS, SENT_YN
FUSION|OKC_BILL_LINES_N2|OKC_BILL_LINES|Non Unique|CLE_ID
